"barras"|"precio"|"operador"|"fecha_inicio"|"fecha_fin"|"observaciones"|"fecha"|"hora"|"vigente"|"clase"
"7792180004512"|760.00|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|12:08:42|N|1
"7790203000275"|2100.00|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|12:09:07|N|1
"7794000003712"|674.25|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|12:09:18|N|1
"7794000007307"|674.25|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|12:09:40|N|1
"7794000003699"|674.25|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|12:09:53|N|1
"7794000007390"|674.25|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|12:10:11|N|1
"7794000003705"|674.25|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|12:10:31|N|1
"7794000007314"|674.25|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|12:10:49|N|1
"7790070320872"|940.00|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|12:12:05|N|1
"7790070320889"|940.00|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|12:12:11|N|1
"7790070408600"|1650.00|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|12:12:23|N|1
"7790070432353"|1650.00|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|12:12:31|N|1
"7793750009821"|2990.00|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|12:12:54|N|1
"7790380020332"|365.00|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|12:28:55|N|1
"7790380020318"|365.00|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|12:29:01|N|1
"7790380014928"|365.00|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|12:29:03|N|1
"7790380015024"|365.00|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|12:29:04|N|1
"7790380008286"|365.00|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|12:29:06|N|1
"7790380020295"|365.00|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|12:29:08|N|1
"7790380016199"|365.00|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|12:29:10|N|1
"7790380020172"|365.00|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|12:29:13|N|1
"7792798013975"|1490.00|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|13:02:47|N|1
"7798037260247"|759.00|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|13:03:01|N|1
"7798130880632"|1490.00|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|13:03:11|N|1
"7791290794863"|840.00|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|13:03:23|N|1
"7793253003258"|1432.00|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|13:03:33|N|1
"7793253003234"|1432.00|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|13:03:39|N|1
