CódigoProducto,Descripción,FechaInicio_Oferta,FechaFin_Oferta,Precio,Sucursal
7790070621269,RAVIOLES LA SALTEÑA 450G.RICOTA                   ,2024-08-15,2024-08-16,1520.0,1
7790070621276,RAVIOLES LA SALTEÑA 450G. POLLO Y VERDURA         ,2024-08-15,2024-08-16,1520.0,1
7790070621283,RAVIOLES LA SALTEÑA 450G. 4 QUESOS                ,2024-08-15,2024-08-16,1520.0,1
7790070621290,RAVIOLES LA SALTEÑA 450G. JAMON Y QUESO           ,2024-08-15,2024-08-16,1520.0,1
7790070621306,RAVIOLES LA SALTEÑA 450G. CARNE Y VERDURA         ,2024-08-15,2024-08-16,1520.0,1
7790070621313,RAVIOLES LA SALTEÑA 450G. ESPINACA Y QUESO        ,2024-08-15,2024-08-16,1520.0,1
7790070621955,DISCOS EMPANADAS LA SALTEÑA 330G.FREIR MAS CROCANT,2024-08-16,2024-08-23,820.0,1
7790070621962,DISCOS EMPANADAS LA SALTEÑA BALANCE 240G.         ,2024-08-16,2024-08-23,820.0,1
7790079022678,SALCHICHON PALADINI FAM.C/JAM. 101915             ,2024-08-07,2024-08-23,2250.0,1
7790123001109,PURE TOMATE VIGENTE 520G.                         ,2024-08-16,2024-08-22,610.0,1
7790150830819,CHOCOLINO PLUS 360G.                              ,2024-08-23,2024-08-29,2264.0,1
7790150830833,CHOCOLINO PLUS 800G.                              ,2024-08-09,2024-08-15,5032.0,1
7790156000018,LECHE DE SOJA ADES NATURAL 1 LT                   ,2024-08-23,2024-08-24,1572.5,1
7790156000056,LECHE DE SOJA ADES MANZANA 1 L                    ,2024-08-23,2024-08-24,1572.5,1
7790156000070,LECHE DE SOJA ADES NARANJA 1 L                    ,2024-08-23,2024-08-24,1572.5,1
7790156000094,LECHE DE SOJA ADES ANANA 1 LT.                    ,2024-08-23,2024-08-24,1572.5,1
7790156000193,LECHE DE SOJA ADES DURAZNO 1 L                    ,2024-08-23,2024-08-24,1572.5,1
7790156000216,LECHE DE SOJA ADES FRU.TROP.1L                    ,2024-08-23,2024-08-24,1572.5,1
7790203000275,ARROZ NOBLE LARGO FINO 00000 1KG.                 ,2024-08-16,2024-08-22,2150.0,1
7790263119689,GALLETITAS OKEBON PANAL 222G. VAINILLA            ,2024-08-16,2024-08-22,1100.0,1
7790263119696,GALLETITAS OKEBON PANAL 222G. COCO                ,2024-08-16,2024-08-22,1100.0,1
7790263119702,GALLETITAS OKEBON PANAL 247G. CHOCOLATE           ,2024-08-16,2024-08-22,1100.0,1
7790314007170,VINO TINTO RESERO 1125CC                          ,2024-08-02,2024-08-08,2390.0,1
7790314062346,VINO TINTO NACIDO Y CRIADO MALBEC 750CC           ,2024-08-23,2024-08-24,2990.0,1
