codigo,Descripcion_Articulo_Oferta,Marca_producto,sucursal,fecha_inicio,fecha_fin,stock,Total_Ventas_Unidad,cantidad_ventas_normal,fechas_normal,aumento_ventas,cantidad_dias
102721,CHORIZO FRESCO ROSCA KG.,CARNE VACUNA,Nogoya Sur,2024-08-23,2024-08-24,3.0,6,5,"2024-08-01, 2024-08-02",20.0,2
363321,COLONIA DES.AXE AQUA CITRUS 96G,ELIDA PONDS,Nogoya Sur,2024-08-09,2024-08-15,36.0,4,0,,,0
363321,COLONIA DES.AXE AQUA CITRUS 96G,ELIDA PONDS,Nogoya Italia,2024-08-09,2024-08-15,28.0,1,2,2024-08-03,-50.0,1
363321,COLONIA DES.AXE AQUA CITRUS 96G,ELIDA PONDS,Crespo,2024-08-09,2024-08-15,47.0,21,10,"2024-08-01, 2024-08-03, 2024-08-05, 2024-08-07, 2024-08-08",110.0,5
363315,COLONIA DES.AXE BLUE LAVENDER 96G,ELIDA PONDS,Hernandez,2024-08-09,2024-08-15,48.0,1,0,,,0
363315,COLONIA DES.AXE BLUE LAVENDER 96G,ELIDA PONDS,Nogoya Sur,2024-08-09,2024-08-15,36.0,2,0,,,0
363315,COLONIA DES.AXE BLUE LAVENDER 96G,ELIDA PONDS,Nogoya Italia,2024-08-09,2024-08-15,41.0,7,6,"2024-08-07, 2024-08-08, 2024-08-21, 2024-08-30",16.67,4
363315,COLONIA DES.AXE BLUE LAVENDER 96G,ELIDA PONDS,Crespo,2024-08-09,2024-08-15,44.0,25,9,"2024-08-01, 2024-08-03, 2024-08-05, 2024-08-06, 2024-08-07",177.78,5
363322,COLONIA DES.AXE GREEN GERANIUM 96G,ELIDA PONDS,Nogoya Italia,2024-08-09,2024-08-15,44.0,3,4,"2024-08-03, 2024-08-08, 2024-08-23, 2024-08-30",-25.0,4
363322,COLONIA DES.AXE GREEN GERANIUM 96G,ELIDA PONDS,Crespo,2024-08-09,2024-08-15,59.0,12,13,"2024-08-01, 2024-08-02, 2024-08-03, 2024-08-05, 2024-08-06",-7.69,5
363322,COLONIA DES.AXE GREEN GERANIUM 96G,ELIDA PONDS,Nogoya Sur,2024-08-09,2024-08-15,36.0,3,1,2024-08-28,200.0,1
227353,CONDIMENTO PARRISAL 400G. BOLSA,PARRISAL,Crespo,2024-08-16,2024-08-22,70.0,214,189,"2024-08-01, 2024-08-02, 2024-08-03, 2024-08-05, 2024-08-06",13.23,5
227353,CONDIMENTO PARRISAL 400G. BOLSA,PARRISAL,Hernandez,2024-08-16,2024-08-22,8.0,20,0,,,0
227353,CONDIMENTO PARRISAL 400G. BOLSA,PARRISAL,Nogoya Sur,2024-08-16,2024-08-22,90.0,19,24,"2024-08-02, 2024-08-03, 2024-08-06, 2024-08-07, 2024-08-08",-20.83,5
64397,CONG.HAMBURGUESAS FRIAR 160G. CLASICAS COD.4309,FRIAR,Hernandez,2024-08-16,2024-08-22,34.0,9,17,"2024-08-01, 2024-08-02, 2024-08-03, 2024-08-07, 2024-08-08",-47.06,5
