codigo,Descripcion_Articulo_Oferta,Marca_producto,sucursal,fecha_inicio,fecha_fin,stock,Total_Ventas_Unidad,Dias_Oferta,Efectividad_Ventas_por_Dia
58924,ARROZ BARBARA L.F.00000 1 KG.,SAGEMULLER,Crespo,2024-08-23,2024-08-29,186.0,736,7,105.14
218407,ARROZ CON LECHE TREGAR CHOCOLATE 180G.,TREGAR,Crespo,2024-08-23,2024-08-27,91.0,31,5,6.2
218407,ARROZ CON LECHE TREGAR CHOCOLATE 180G.,TREGAR,Hernandez,2024-08-23,2024-08-27,13.0,3,5,0.6
218404,ARROZ CON LECHE TREGAR LIGHT 180G.,TREGAR,Crespo,2024-08-23,2024-08-27,33.0,10,5,2.0
16506,ARROZ NOBLE LARGO FINO 00000 1KG.,ARROCEROS VILLA ELIS,Crespo,2024-08-16,2024-08-22,169.0,431,7,61.57
16506,ARROZ NOBLE LARGO FINO 00000 1KG.,ARROCEROS VILLA ELIS,Nogoya Sur,2024-08-16,2024-08-22,379.0,42,7,6.0
16506,ARROZ NOBLE LARGO FINO 00000 1KG.,ARROCEROS VILLA ELIS,Nogoya Italia,2024-08-16,2024-08-22,333.0,82,7,11.71
16506,ARROZ NOBLE LARGO FINO 00000 1KG.,ARROCEROS VILLA ELIS,Hernandez,2024-08-16,2024-08-22,219.0,20,7,2.86
15105,AZUCAR EN PANCITOS MENDEZ 500G,AZUMENDEZ,Nogoya Sur,2024-08-09,2024-08-15,84.0,1,7,0.14
15105,AZUCAR EN PANCITOS MENDEZ 500G,AZUMENDEZ,Crespo,2024-08-09,2024-08-15,32.0,24,7,3.43
65565,AZUCAR PRIMER PRECIO 1KG.,AZUCAR VARIOS,Hernandez,2024-08-02,2024-08-08,137.0,175,7,25.0
65565,AZUCAR PRIMER PRECIO 1KG.,AZUCAR VARIOS,Nogoya Italia,2024-08-02,2024-08-08,1362.0,297,7,42.43
65565,AZUCAR PRIMER PRECIO 1KG.,AZUCAR VARIOS,Crespo,2024-08-02,2024-08-08,1229.0,2383,7,340.43
