codigo,Descripcion_Articulo_Oferta,Marca_producto,sucursal,fecha_inicio,fecha_fin,stock,Total_Ventas_Unidad,Porcentaje_Vendido
37343,SOPA KNORR CASERA VEGET.+CAR.TR,UNILEVER BEST FOODS,Crespo,2024-08-23,2024-08-29,43.0,70,162.79
262707,SOPA KNORR CASERA VEGET.+CAR.VERDES,UNILEVER BEST FOODS,Crespo,2024-08-23,2024-08-29,91.0,13,14.29
262707,SOPA KNORR CASERA VEGET.+CAR.VERDES,UNILEVER BEST FOODS,Nogoya Sur,2024-08-23,2024-08-29,144.0,6,4.17
262707,SOPA KNORR CASERA VEGET.+CAR.VERDES,UNILEVER BEST FOODS,Nogoya Italia,2024-08-23,2024-08-29,94.0,2,2.13
262707,SOPA KNORR CASERA VEGET.+CAR.VERDES,UNILEVER BEST FOODS,Hernandez,2024-08-23,2024-08-29,36.0,1,2.78
37342,SOPA KNORR CASERA VEGET.+LETRAS,UNILEVER BEST FOODS,Nogoya Sur,2024-08-23,2024-08-29,85.0,13,15.29
37342,SOPA KNORR CASERA VEGET.+LETRAS,UNILEVER BEST FOODS,Nogoya Italia,2024-08-23,2024-08-29,10.0,10,100.0
37342,SOPA KNORR CASERA VEGET.+LETRAS,UNILEVER BEST FOODS,Hernandez,2024-08-23,2024-08-29,68.0,1,1.47
37342,SOPA KNORR CASERA VEGET.+LETRAS,UNILEVER BEST FOODS,Crespo,2024-08-23,2024-08-29,59.0,34,57.63
262551,SOPA KNORR CASERA VEGET.+MUNICIONES,UNILEVER BEST FOODS,Nogoya Sur,2024-08-23,2024-08-29,61.0,10,16.39
262551,SOPA KNORR CASERA VEGET.+MUNICIONES,UNILEVER BEST FOODS,Nogoya Italia,2024-08-23,2024-08-29,73.0,4,5.48
262551,SOPA KNORR CASERA VEGET.+MUNICIONES,UNILEVER BEST FOODS,Hernandez,2024-08-23,2024-08-29,40.0,4,10.0
262551,SOPA KNORR CASERA VEGET.+MUNICIONES,UNILEVER BEST FOODS,Crespo,2024-08-23,2024-08-29,103.0,29,28.16
316122,SUAVIZANTE DRIVE DP 900CC CLASICO,UNILEVER.,Nogoya Sur,2024-08-23,2024-08-29,46.0,16,34.78
316122,SUAVIZANTE DRIVE DP 900CC CLASICO,UNILEVER.,Crespo,2024-08-23,2024-08-29,34.0,92,270.59
316122,SUAVIZANTE DRIVE DP 900CC CLASICO,UNILEVER.,Nogoya Italia,2024-08-23,2024-08-29,20.0,8,40.0
316122,SUAVIZANTE DRIVE DP 900CC CLASICO,UNILEVER.,Hernandez,2024-08-23,2024-08-29,8.0,8,100.0
316123,SUAVIZANTE DRIVE DP 900CC LAVANDA Y MORA,UNILEVER.,Crespo,2024-08-23,2024-08-29,21.0,78,371.43
316123,SUAVIZANTE DRIVE DP 900CC LAVANDA Y MORA,UNILEVER.,Nogoya Italia,2024-08-23,2024-08-29,29.0,4,13.79
316123,SUAVIZANTE DRIVE DP 900CC LAVANDA Y MORA,UNILEVER.,Nogoya Sur,2024-08-23,2024-08-29,18.0,10,55.56
316123,SUAVIZANTE DRIVE DP 900CC LAVANDA Y MORA,UNILEVER.,Hernandez,2024-08-23,2024-08-29,59.0,22,37.29
277008,TALCO EFFICIENT FRESH 100G,ELIDA PONDS,Nogoya Sur,2024-08-16,2024-08-22,117.0,65,55.56
277008,TALCO EFFICIENT FRESH 100G,ELIDA PONDS,Crespo,2024-08-16,2024-08-22,154.0,50,32.47
277008,TALCO EFFICIENT FRESH 100G,ELIDA PONDS,Hernandez,2024-08-16,2024-08-22,28.0,3,10.71
277008,TALCO EFFICIENT FRESH 100G,ELIDA PONDS,Nogoya Italia,2024-08-16,2024-08-22,179.0,19,10.61
256792,TALCO EFFICIENT ORIGINAL 100G,ELIDA PONDS,Nogoya Italia,2024-08-16,2024-08-22,229.0,41,17.9
256792,TALCO EFFICIENT ORIGINAL 100G,ELIDA PONDS,Hernandez,2024-08-16,2024-08-22,20.0,10,50.0
256792,TALCO EFFICIENT ORIGINAL 100G,ELIDA PONDS,Crespo,2024-08-16,2024-08-22,144.0,47,32.64
297938,TORNIC JULICROC 65G.,JULI CROC,Hernandez,2024-08-23,2024-08-29,24.0,14,58.33
297938,TORNIC JULICROC 65G.,JULI CROC,Crespo,2024-08-23,2024-08-29,24.0,45,187.5
236868,TRAPO PISO P.PRECIO GRIS  50X52 100%ALGODON,VALENA SRL,Nogoya Italia,2024-08-23,2024-08-29,215.0,20,9.3
236868,TRAPO PISO P.PRECIO GRIS  50X52 100%ALGODON,VALENA SRL,Nogoya Sur,2024-08-23,2024-08-29,254.0,24,9.45
236868,TRAPO PISO P.PRECIO GRIS  50X52 100%ALGODON,VALENA SRL,Crespo,2024-08-23,2024-08-29,67.0,22,32.84
103921,VACIO NOVILLO KG.,CARNE VACUNA,Nogoya Italia,2024-08-02,2024-08-03,0.0,14,0.0
103921,VACIO NOVILLO KG.,CARNE VACUNA,Hernandez,2024-08-09,2024-08-10,-26.0,7,0.0
103921,VACIO NOVILLO KG.,CARNE VACUNA,Hernandez,2024-08-02,2024-08-03,-1.0,21,0.0
103921,VACIO NOVILLO KG.,CARNE VACUNA,Crespo,2024-08-23,2024-08-26,96.0,279,290.62
103921,VACIO NOVILLO KG.,CARNE VACUNA,Nogoya Sur,2024-08-23,2024-08-26,-57.0,11,0.0
103921,VACIO NOVILLO KG.,CARNE VACUNA,Nogoya Italia,2024-08-09,2024-08-10,-15.0,8,0.0
103921,VACIO NOVILLO KG.,CARNE VACUNA,Nogoya Italia,2024-08-23,2024-08-26,-24.0,14,0.0
103921,VACIO NOVILLO KG.,CARNE VACUNA,Crespo,2024-08-09,2024-08-10,15.0,291,1940.0
103921,VACIO NOVILLO KG.,CARNE VACUNA,Hernandez,2024-08-23,2024-08-26,-37.0,21,0.0
103921,VACIO NOVILLO KG.,CARNE VACUNA,Nogoya Sur,2024-08-02,2024-08-03,1.0,18,1800.0
