codigo,barras,descripcion,fecha_inicio,fecha_fin,porcentaje_descuento,sucursal,stock
328908.0,7790895640483,"AGUA SAB.AQUARIUS 1,500CC.MANZANA                 ",2024-08-23,2024-08-24,15.0,Nogoya Italia,31.0
328908.0,7790895640483,"AGUA SAB.AQUARIUS 1,500CC.MANZANA                 ",2024-08-23,2024-08-24,15.0,Nogoya Sur,25.0
328908.0,7790895640483,"AGUA SAB.AQUARIUS 1,500CC.MANZANA                 ",2024-08-23,2024-08-24,15.0,Hernandez,50.0
850.0,7790895641237,"AGUA SAB.AQUARIUS 1,500CC.NARANJA                 ",2024-08-23,2024-08-24,15.0,Crespo,137.0
850.0,7790895641237,"AGUA SAB.AQUARIUS 1,500CC.NARANJA                 ",2024-08-23,2024-08-24,15.0,Hernandez,53.0
850.0,7790895641237,"AGUA SAB.AQUARIUS 1,500CC.NARANJA                 ",2024-08-23,2024-08-24,15.0,Nogoya Sur,35.0
850.0,7790895641237,"AGUA SAB.AQUARIUS 1,500CC.NARANJA                 ",2024-08-23,2024-08-24,15.0,Nogoya Italia,25.0
850.0,7790895641237,"AGUA SAB.AQUARIUS 1,500CC.NARANJA                 ",2024-08-15,2024-08-16,15.0,Hernandez,0.0
850.0,7790895641237,"AGUA SAB.AQUARIUS 1,500CC.NARANJA                 ",2024-08-15,2024-08-16,15.0,Nogoya Italia,-1.0
850.0,7790895641237,"AGUA SAB.AQUARIUS 1,500CC.NARANJA                 ",2024-08-15,2024-08-16,15.0,Crespo,135.0
850.0,7790895641237,"AGUA SAB.AQUARIUS 1,500CC.NARANJA                 ",2024-08-15,2024-08-16,15.0,Nogoya Sur,29.0
328748.0,7790895640476,"AGUA SAB.AQUARIUS 1,500CC.PERA                    ",2024-08-15,2024-08-16,15.0,Hernandez,0.0
328748.0,7790895640476,"AGUA SAB.AQUARIUS 1,500CC.PERA                    ",2024-08-23,2024-08-24,15.0,Crespo,143.0
328748.0,7790895640476,"AGUA SAB.AQUARIUS 1,500CC.PERA                    ",2024-08-23,2024-08-24,15.0,Nogoya Italia,54.0
328748.0,7790895640476,"AGUA SAB.AQUARIUS 1,500CC.PERA                    ",2024-08-23,2024-08-24,15.0,Hernandez,79.0
328748.0,7790895640476,"AGUA SAB.AQUARIUS 1,500CC.PERA                    ",2024-08-23,2024-08-24,15.0,Nogoya Sur,19.0
328748.0,7790895640476,"AGUA SAB.AQUARIUS 1,500CC.PERA                    ",2024-08-15,2024-08-16,15.0,Crespo,135.0
328748.0,7790895640476,"AGUA SAB.AQUARIUS 1,500CC.PERA                    ",2024-08-15,2024-08-16,15.0,Nogoya Italia,23.0
328748.0,7790895640476,"AGUA SAB.AQUARIUS 1,500CC.PERA                    ",2024-08-15,2024-08-16,15.0,Nogoya Sur,18.0
328915.0,7790895640490,"AGUA SAB.AQUARIUS 1,500CC.POMELO                  ",2024-08-23,2024-08-24,15.0,Nogoya Sur,6.0
328915.0,7790895640490,"AGUA SAB.AQUARIUS 1,500CC.POMELO                  ",2024-08-15,2024-08-16,15.0,Crespo,106.0
328915.0,7790895640490,"AGUA SAB.AQUARIUS 1,500CC.POMELO                  ",2024-08-15,2024-08-16,15.0,Nogoya Italia,12.0
328915.0,7790895640490,"AGUA SAB.AQUARIUS 1,500CC.POMELO                  ",2024-08-15,2024-08-16,15.0,Hernandez,0.0
328915.0,7790895640490,"AGUA SAB.AQUARIUS 1,500CC.POMELO                  ",2024-08-15,2024-08-16,15.0,Nogoya Sur,0.0
328915.0,7790895640490,"AGUA SAB.AQUARIUS 1,500CC.POMELO                  ",2024-08-23,2024-08-24,15.0,Nogoya Italia,9.0
328915.0,7790895640490,"AGUA SAB.AQUARIUS 1,500CC.POMELO                  ",2024-08-23,2024-08-24,15.0,Hernandez,0.0
328915.0,7790895640490,"AGUA SAB.AQUARIUS 1,500CC.POMELO                  ",2024-08-23,2024-08-24,15.0,Crespo,112.0
389278.0,7790895004049,"AGUA SAB.AQUARIUS 1,500CC.POMELO ROSADO           ",2024-08-23,2024-08-24,15.0,Nogoya Sur,0.0
389278.0,7790895004049,"AGUA SAB.AQUARIUS 1,500CC.POMELO ROSADO           ",2024-08-23,2024-08-24,15.0,Nogoya Italia,7.0
389278.0,7790895004049,"AGUA SAB.AQUARIUS 1,500CC.POMELO ROSADO           ",2024-08-23,2024-08-24,15.0,Crespo,124.0
389278.0,7790895004049,"AGUA SAB.AQUARIUS 1,500CC.POMELO ROSADO           ",2024-08-15,2024-08-16,,Crespo,83.0
389278.0,7790895004049,"AGUA SAB.AQUARIUS 1,500CC.POMELO ROSADO           ",2024-08-15,2024-08-16,,Nogoya Sur,0.0
